area_code,year,preventive_care_coverage
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2001,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
IT,2002,0.0
